,Persons,Males,Females,Number of households,Males- Literate,Females- Literate,Total Educated,Below Primary,Primary,Middle,Matric/Higher Secondary/Diploma,Graduate and Above,0 - 4 years,5 - 14 years,15 - 59 years,60 years and above (Incl. A.N.S.),Total workers,Main workers,Non-workers,Religeon#1 Population,Imp Town#2 Population,Imp Town#3 Population,Persons- literate
154,1501589.0,760686.0,740903.0,261613.0,362829.0,166652.0,529481.0,182922.0,134908.0,79162.0,67938.0,21972.0,219593.0,405216.0,745421.0,131359.0,709412.0,529393.0,792177.0,1425287.0,10108.0,9947.0,529481.0
155,1803524.0,918063.0,885461.0,356833.0,539465.0,267640.0,807105.0,288374.0,227075.0,118142.0,106971.0,38274.0,211036.0,437734.0,1012725.0,142029.0,930339.0,749689.0,873185.0,1666452.0,53327.0,35422.0,807105.0
156,1568525.0,827128.0,741397.0,280883.0,593065.0,375716.0,968781.0,252606.0,240399.0,164047.0,194898.0,81681.0,168079.0,398729.0,899961.0,101756.0,541362.0,420734.0,1027163.0,1344633.0,30973.0,20372.0,968781.0
157,1021653.0,535137.0,486516.0,170824.0,330676.0,164445.0,495121.0,175161.0,145677.0,76951.0,64461.0,18778.0,127761.0,282325.0,537512.0,74055.0,436375.0,300615.0,585278.0,948343.0,26784.0,22796.0,495121.0
158,1180323.0,612804.0,567519.0,201489.0,369920.0,186672.0,556592.0,218513.0,144230.0,77818.0,60857.0,19959.0,140357.0,304698.0,628776.0,106492.0,554781.0,399386.0,625542.0,1087934.0,35695.0,30103.0,556592.0
159,4214505.0,2150090.0,2064415.0,789164.0,1381748.0,923531.0,2305279.0,675665.0,681713.0,233698.0,555114.0,126507.0,433021.0,986374.0,2455680.0,339430.0,1877774.0,1537645.0,2336731.0,3565153.0,67170.0,58081.0,2305279.0
160,1651892.0,834247.0,817645.0,293645.0,494544.0,300241.0,794785.0,254452.0,230572.0,73843.0,175891.0,43406.0,183689.0,410814.0,936098.0,121291.0,719659.0,561559.0,932233.0,1424121.0,70248.0,57883.0,794785.0
161,1806918.0,926424.0,880494.0,317379.0,543869.0,322692.0,866561.0,276393.0,240833.0,81050.0,193305.0,56251.0,196532.0,468652.0,995702.0,146032.0,718213.0,551972.0,1088705.0,1495080.0,31482.0,28560.0,866561.0
162,3130922.0,1592789.0,1538133.0,536056.0,812860.0,484585.0,1297445.0,397499.0,345382.0,123657.0,310638.0,78138.0,358729.0,882140.0,1667646.0,222407.0,1350072.0,1010430.0,1780850.0,2381497.0,58811.0,50562.0,1297445.0
163,1502373.0,771022.0,731351.0,252250.0,468571.0,299787.0,768358.0,197821.0,223243.0,76573.0,196756.0,46559.0,160329.0,414390.0,807175.0,120479.0,557603.0,424985.0,944770.0,1020174.0,58785.0,36517.0,768358.0
